prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p006,Qwen/Qwen2.5-7B-Instruct::normal_03,16,21.236318588256836,15.028727531433105,35.14710235595703,20.11837387084961,15.074772834777832,0.6,0.15,0.85
p006,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.350082397460938,12.184335708618164,34.52296829223633,22.338632583618164,15.230268478393555,0.7,0.4,0.6
p007,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.815620422363281,10.191949844360352,22.72294807434082,12.530998229980469,11.420595169067383,0.65,0.25,0.75
p007,Qwen/Qwen2.5-7B-Instruct::normal_02,16,15.25827407836914,12.540191650390625,23.109922409057617,10.569730758666992,11.023548126220703,0.7,0.4,0.6000000000000001
p007,Qwen/Qwen2.5-7B-Instruct::normal_03,16,13.773821830749512,10.533041954040527,21.445425033569336,10.912383079528809,10.449195861816406,0.7,0.4,0.6
p007,Qwen/Qwen2.5-7B-Instruct::normal_04,16,13.0925874710083,8.777417182922363,22.03837013244629,13.260952949523926,10.382488250732422,0.6,0.25,0.75
p008,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.015042304992676,12.812361717224121,16.011337280273438,3.1989755630493164,8.815004348754883,0.4,0.0,1.0
p008,Qwen/Qwen2.5-7B-Instruct::normal_02,16,14.167440414428711,11.866751670837402,17.77197265625,5.905220985412598,8.636923789978027,0.09999999999999998,0.0,1.0
p008,Qwen/Qwen2.5-7B-Instruct::normal_03,16,14.27523422241211,12.083749771118164,19.057249069213867,6.973499298095703,8.431099891662598,0.6,0.3,0.7
p008,Qwen/Qwen2.5-7B-Instruct::normal_04,16,13.571781158447266,9.486252784729004,19.728445053100586,10.242192268371582,8.431099891662598,0.7,0.4,0.6
p009,Qwen/Qwen2.5-7B-Instruct::normal_01,16,25.184785842895508,19.34957504272461,30.681182861328125,11.331607818603516,11.488945960998535,0.6,0.3,0.7
p009,Qwen/Qwen2.5-7B-Instruct::normal_02,16,26.497989654541016,19.7620849609375,32.7880859375,13.0260009765625,11.828327178955078,0.6,0.3,0.7
p009,Qwen/Qwen2.5-7B-Instruct::normal_03,16,26.828784942626953,20.052310943603516,32.32793045043945,12.275619506835938,11.331441879272461,0.6,0.25,0.75
p009,Qwen/Qwen2.5-7B-Instruct::normal_04,16,26.88395881652832,20.058502197265625,31.752304077148438,11.693801879882812,12.071690559387207,0.55,0.25,0.75
p010,Qwen/Qwen2.5-7B-Instruct::normal_01,16,18.007902145385742,14.847650527954102,21.80097198486328,6.95332145690918,10.549283027648926,0.5,0.05,0.95
p010,Qwen/Qwen2.5-7B-Instruct::normal_02,16,19.371030807495117,13.526250839233398,24.133708953857422,10.607458114624023,10.653741836547852,0.6,0.15,0.8500000000000001
p010,Qwen/Qwen2.5-7B-Instruct::normal_03,16,19.38544464111328,13.314839363098145,24.430803298950195,11.11596393585205,10.653741836547852,0.6,0.15,0.8500000000000001
p010,Qwen/Qwen2.5-7B-Instruct::normal_04,16,18.5368709564209,13.774471282958984,21.033220291137695,7.258749008178711,10.141661643981934,0.85,0.25,0.75
p011,Qwen/Qwen2.5-7B-Instruct::normal_01,16,16.94713020324707,13.977917671203613,22.647829055786133,8.66991138458252,10.656394958496094,0.8500000000000001,0.55,0.45
p011,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.048622131347656,11.200335502624512,19.577903747558594,8.377568244934082,10.425668716430664,0.6,0.3,0.7
p011,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.774492263793945,13.627972602844238,21.227624893188477,7.599652290344238,10.095726013183594,0.55,0.15,0.8500000000000001
p011,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.442155838012695,10.816327095031738,20.645404815673828,9.82907772064209,10.203472137451172,1.0,0.55,0.45
p012,Qwen/Qwen2.5-7B-Instruct::normal_01,16,16.966999053955078,14.333759307861328,20.704124450683594,6.370365142822266,10.914155960083008,0.6,0.25,0.75
p012,Qwen/Qwen2.5-7B-Instruct::normal_02,16,17.068851470947266,13.78152847290039,21.223909378051758,7.442380905151367,10.415334701538086,0.5,0.0,1.0
